wilayah,provinsi,tahun,pdrb_perkapita,kemiskinan,pengangguran,ipm,harapan_hidup,rata_lama_sekolah,akses_internet,jalan_baik,air_bersih,catatan_data
Kabupaten/Kota_481,Sumatera Utara,2021,239462804.0,21.19,5.45,63.95,71.65,10.57,34.39,99.13,84.18,Normal
Kabupaten/Kota_482,Papua,2024,37726046.0,13.7,7.57,79.76,73.85,7.55,44.58,93.88,70.44,Normal
Kabupaten/Kota_483,Jawa Tengah,2023,203802736.0,23.81,3.96,70.96,71.08,6.48,35.49,99.64,99.6,Normal
Kabupaten/Kota_484,DKI Jakarta,2021,126531009.0,13.8,4.4,57.61,77.68,7.94,83.05,92.5,88.4,Normal
Kabupaten/Kota_485,DKI Jakarta,2023,168689647.0,4.76,4.17,81.4,73.69,7.01,94.99,85.0,89.19,Normal
Kabupaten/Kota_486,Banten,2024,221135755.0,5.73,5.79,81.43,72.65,6.23,49.75,72.4,98.66,Normal
Kabupaten/Kota_487,Banten,2024,188126253.0,5.58,4.9,68.57,72.8,6.53,65.81,55.07,67.86,Normal
Kabupaten/Kota_488,Jawa Barat,2024,86921349.0,23.42,13.08,67.47,62.17,7.37,36.11,50.66,88.91,Normal
Kabupaten/Kota_489,Jawa Barat,2024,91548169.0,3.22,4.63,75.93,77.67,6.28,93.94,99.42,70.32,Normal
Kabupaten/Kota_490,Sulawesi Selatan,2023,229471654.0,3.57,13.53,64.45,71.48,11.47,69.99,90.01,48.18,Normal
Kabupaten/Kota_491,Jawa Barat,2021,149674156.0,19.64,12.91,76.21,73.07,10.38,27.91,73.13,59.96,Normal
Kabupaten/Kota_492,DKI Jakarta,2021,47733646.0,19.59,11.0,60.99,66.89,13.47,80.71,77.08,92.68,Normal
Kabupaten/Kota_493,Papua,2022,58326836.0,24.71,3.15,59.44,75.93,11.72,55.97,86.61,86.38,Normal
Kabupaten/Kota_494,Sumatera Utara,2023,122090078.0,2.62,7.79,77.21,64.6,12.36,66.62,49.42,77.49,Normal
Kabupaten/Kota_495,Sumatera Barat,2023,146862826.0,8.13,1.99,60.44,70.94,12.21,47.8,60.74,67.41,Normal
Kabupaten/Kota_496,Jawa Timur,2020,234427853.0,10.39,6.74,76.28,65.73,7.87,30.52,54.59,57.04,Normal
Kabupaten/Kota_497,Jawa Tengah,2020,222182095.0,23.71,2.78,84.97,66.47,9.36,25.78,94.29,81.55,Normal
Kabupaten/Kota_498,Papua,2021,38095331.0,21.09,11.93,57.23,62.39,12.5,21.49,30.24,40.03,Normal
Kabupaten/Kota_499,Sumatera Barat,2024,65453201.0,11.11,9.05,58.49,60.89,8.64,93.05,53.21,44.78,Normal
Kabupaten/Kota_500,Sumatera Utara,2021,105324075.0,19.21,4.08,78.04,60.9,13.77,33.25,52.5,99.87,Normal
Kabupaten/Kota_501,DKI Jakarta,2022,197679179.0,2.26,14.52,68.36,61.16,12.1,39.67,75.15,43.48,Normal
Kabupaten/Kota_502,Banten,2020,177243043.0,4.44,12.95,79.38,67.38,9.51,91.83,64.87,46.59,Normal
Kabupaten/Kota_503,Sulawesi Selatan,2021,157132744.0,4.56,4.94,66.55,70.34,10.0,33.98,75.58,71.84,Normal
Kabupaten/Kota_504,Jawa Tengah,2023,207281527.0,14.47,1.79,80.62,64.41,7.55,26.62,77.73,85.37,Normal
Kabupaten/Kota_505,DKI Jakarta,2023,102812780.0,4.58,1.59,65.14,70.31,11.11,81.39,86.81,75.98,Normal
Kabupaten/Kota_506,Sumatera Barat,2024,64062301.0,23.36,8.61,74.67,77.1,6.55,64.9,42.3,54.92,Normal
Kabupaten/Kota_507,Sumatera Barat,2023,231273797.0,3.2,14.72,62.03,77.17,13.47,51.84,97.9,75.01,Normal
Kabupaten/Kota_508,Sulawesi Selatan,2023,35894114.0,23.29,3.62,74.86,60.39,11.13,78.28,75.11,86.72,Normal
Kabupaten/Kota_509,Papua,2020,105302293.0,11.25,8.93,79.77,77.5,12.22,55.02,47.83,82.32,Normal
Kabupaten/Kota_510,Kalimantan Timur,2020,84323755.0,3.73,6.13,79.94,60.06,13.73,26.72,67.3,58.45,Normal
Kabupaten/Kota_511,Kalimantan Timur,2020,216227869.0,20.55,6.55,68.05,73.31,6.19,23.16,97.31,48.39,Normal
Kabupaten/Kota_512,Jawa Timur,2020,51486211.0,16.83,9.25,59.33,73.43,10.52,65.53,73.74,45.28,Normal
Kabupaten/Kota_513,DKI Jakarta,2024,68601322.0,2.9,5.46,81.27,73.22,12.9,39.87,93.93,50.49,Normal
Kabupaten/Kota_514,Jawa Tengah,2024,238077278.0,18.29,6.61,60.53,70.21,8.66,56.2,57.99,68.55,Normal
Kabupaten/Kota_515,Sumatera Utara,2023,182944761.0,3.0,13.25,81.91,73.39,6.93,95.64,42.76,87.45,Normal
Kabupaten/Kota_516,Papua,2020,64880530.0,17.4,10.28,63.93,68.4,10.51,56.55,72.89,90.07,Normal
Kabupaten/Kota_517,Sumatera Utara,2024,122024286.0,12.59,10.26,55.15,64.38,5.36,63.5,40.31,87.94,Normal
Kabupaten/Kota_518,Banten,2024,197057276.0,8.01,12.95,82.76,71.93,12.76,49.31,43.3,82.2,Normal
Kabupaten/Kota_519,Banten,2023,20228630.0,12.66,9.55,72.62,74.39,11.93,48.36,58.28,89.95,Normal
Kabupaten/Kota_520,Jawa Timur,2023,155742487.0,18.85,10.75,64.28,62.67,8.63,30.84,92.55,86.86,Normal
Kabupaten/Kota_521,Kalimantan Timur,2022,233646680.0,10.94,8.96,55.04,60.78,6.59,67.11,94.69,63.13,Normal
Kabupaten/Kota_522,Papua,2024,243237776.0,17.29,12.35,80.96,70.36,5.18,29.69,31.94,45.48,Normal
Kabupaten/Kota_523,Papua,2024,120041257.0,10.81,11.81,73.87,72.73,5.03,60.57,80.68,43.87,Normal
Kabupaten/Kota_524,Jawa Timur,2024,228835160.0,13.97,10.29,79.41,66.28,9.21,47.66,95.09,83.66,Normal
Kabupaten/Kota_525,Jawa Timur,2024,149827162.0,3.63,10.52,65.06,72.41,8.4,39.98,99.19,81.99,Normal
Kabupaten/Kota_526,DKI Jakarta,2024,138378306.0,6.67,13.83,77.92,65.43,12.54,50.71,85.87,71.4,Normal
Kabupaten/Kota_527,Kalimantan Timur,2022,241287035.0,9.64,10.78,66.12,74.86,7.11,41.64,79.92,85.02,Normal
Kabupaten/Kota_528,Sumatera Utara,2023,35054990.0,14.52,10.74,79.45,61.41,10.69,75.31,77.91,67.36,Normal
Kabupaten/Kota_529,Papua,2022,218114891.0,14.21,3.18,81.21,63.75,12.29,47.07,34.27,77.0,Normal
Kabupaten/Kota_530,Sumatera Barat,2020,26923114.0,8.87,10.37,70.28,72.96,5.53,63.75,62.28,44.36,Normal
Kabupaten/Kota_531,Jawa Tengah,2022,139513777.0,18.72,2.32,56.63,72.4,9.45,78.32,35.36,59.86,Normal
Kabupaten/Kota_532,Papua,2022,148808318.0,22.6,3.8,78.08,74.33,12.56,40.26,51.1,57.92,Normal
Kabupaten/Kota_533,Sulawesi Selatan,2020,15552521.0,16.96,2.39,82.43,77.67,6.13,36.78,60.19,51.46,Normal
Kabupaten/Kota_534,Jawa Barat,2020,212242940.0,12.92,4.94,71.58,77.57,6.41,43.7,48.22,85.53,Normal
Kabupaten/Kota_535,Sumatera Barat,2021,148056356.0,9.33,9.4,73.47,64.78,11.53,64.94,36.02,45.31,Normal
Kabupaten/Kota_536,Sumatera Utara,2024,144889448.0,23.45,8.36,83.67,74.31,13.99,59.08,47.52,99.41,Normal
Kabupaten/Kota_537,Kalimantan Timur,2021,83160614.0,2.1,4.29,77.37,68.71,12.14,55.31,78.62,88.73,Normal
Kabupaten/Kota_538,Jawa Timur,2020,47030473.0,17.24,5.29,59.09,76.1,7.78,64.34,37.26,63.34,Normal
Kabupaten/Kota_539,Sumatera Barat,2024,144511926.0,8.41,,58.96,68.92,9.14,73.7,50.9,74.32,Missing Value
Kabupaten/Kota_540,Banten,2023,149788678.0,13.51,1.38,83.87,66.12,10.29,27.2,55.87,46.95,Normal
Kabupaten/Kota_541,Sumatera Utara,2023,188631377.0,16.63,1.28,74.21,72.33,5.04,75.16,47.69,68.07,Normal
Kabupaten/Kota_542,Banten,2023,61985785.0,16.58,2.88,81.95,60.03,13.32,36.5,80.26,51.71,Normal
Kabupaten/Kota_543,DKI Jakarta,2021,15680809.0,2.33,2.45,73.66,61.17,7.18,82.21,74.15,82.74,Normal
Kabupaten/Kota_544,Sulawesi Selatan,2024,92271831.0,7.85,7.26,72.71,68.5,12.56,69.77,83.09,58.99,Normal
Kabupaten/Kota_545,Papua,2022,153929518.0,18.48,9.27,67.33,75.49,11.75,,39.55,54.23,Missing Value
Kabupaten/Kota_546,DKI Jakarta,2023,204197261.0,12.22,7.23,55.75,67.92,10.81,30.56,51.9,75.42,Normal
Kabupaten/Kota_547,Banten,2023,231003770.0,3.22,12.2,75.36,75.66,7.38,46.88,71.65,97.33,Normal
Kabupaten/Kota_548,Kalimantan Timur,2023,120121610.0,8.59,2.81,81.36,73.92,10.13,26.91,49.67,49.37,Normal
Kabupaten/Kota_549,Papua,2024,167544282.0,13.99,,62.57,60.04,9.71,58.05,97.85,42.53,Missing Value
Kabupaten/Kota_550,Jawa Barat,2022,166231431.0,18.0,10.76,72.68,70.03,11.02,46.19,90.73,50.02,Normal
Kabupaten/Kota_551,Banten,2023,139419440.0,18.59,12.96,64.92,76.95,10.41,72.69,54.11,54.18,Normal
Kabupaten/Kota_552,Kalimantan Timur,2022,227074109.0,17.01,7.36,64.03,60.13,9.39,59.14,81.28,70.0,Normal
Kabupaten/Kota_553,Jawa Tengah,2024,31845851.0,8.17,4.55,75.29,77.91,12.83,73.74,91.47,91.94,Normal
Kabupaten/Kota_554,Papua,2024,18888102.0,15.02,3.93,55.24,60.23,10.7,53.08,39.62,63.69,Normal
Kabupaten/Kota_555,Banten,2023,212252783.0,24.0,11.07,84.36,67.32,10.49,58.76,74.73,99.01,Normal
Kabupaten/Kota_556,Jawa Timur,2024,31080515.0,3.36,5.37,74.42,69.45,8.68,49.29,40.3,82.66,Normal
Kabupaten/Kota_557,Kalimantan Timur,2022,41904792.0,9.92,2.41,62.32,76.2,6.98,77.45,,57.17,Missing Value
Kabupaten/Kota_558,Papua,2023,25664323.0,6.79,11.72,61.07,66.39,6.82,66.41,82.07,90.93,Normal
Kabupaten/Kota_559,Sumatera Barat,2020,60769281.0,21.24,12.3,61.13,72.23,10.54,36.35,69.69,79.3,Normal
Kabupaten/Kota_560,Sumatera Barat,2020,57222171.0,22.79,1.91,74.56,69.54,12.04,46.72,77.14,70.7,Normal
Kabupaten/Kota_561,Sumatera Utara,2023,241392772.0,17.71,11.54,77.93,75.44,11.42,51.35,93.25,92.85,Normal
Kabupaten/Kota_562,Jawa Timur,2021,92716822.0,9.47,1.09,81.88,62.41,13.62,71.72,80.78,59.48,Normal
Kabupaten/Kota_563,Jawa Barat,2020,221851091.0,13.86,13.26,70.85,75.89,12.39,84.79,78.89,43.22,Normal
Kabupaten/Kota_564,Sumatera Barat,2023,97489530.0,9.93,12.55,57.79,65.46,5.02,77.73,32.45,54.21,Normal
Kabupaten/Kota_565,Banten,2020,158022755.0,18.29,7.18,62.37,72.61,9.96,76.58,47.99,44.56,Normal
Kabupaten/Kota_566,Sumatera Barat,2022,244780897.0,3.84,5.92,55.66,61.15,8.93,69.39,69.54,55.95,Normal
Kabupaten/Kota_567,DKI Jakarta,2024,113090388.0,23.6,3.3,63.24,60.94,12.17,69.91,77.65,51.2,Normal
Kabupaten/Kota_568,Jawa Timur,2023,59507435.0,7.89,2.06,63.22,75.74,6.35,83.19,36.19,98.48,Normal
Kabupaten/Kota_569,Sumatera Utara,2021,127145281.0,4.6,8.58,70.52,67.69,8.59,47.23,42.4,94.63,Normal
Kabupaten/Kota_570,Sumatera Barat,2023,192295939.0,22.15,14.45,70.7,70.73,13.81,50.94,44.07,42.37,Normal
Kabupaten/Kota_571,Papua,2024,158153430.0,13.67,2.34,71.94,71.58,5.15,81.61,79.95,96.76,Normal
Kabupaten/Kota_572,Sumatera Utara,2022,34846850.0,19.93,14.11,75.75,63.35,10.64,21.97,90.77,71.36,Normal
Kabupaten/Kota_573,Kalimantan Timur,2024,24006797.0,12.38,11.55,78.97,64.5,9.78,85.29,93.27,97.84,Normal
Kabupaten/Kota_574,Sumatera Utara,2024,35910112.0,15.8,14.95,62.87,64.6,13.26,,45.44,49.82,Missing Value
Kabupaten/Kota_575,Sumatera Barat,2020,96918105.0,10.11,7.53,76.72,64.58,10.21,49.9,78.55,53.81,Normal
Kabupaten/Kota_576,Sulawesi Selatan,2022,117938966.0,20.26,10.14,76.16,71.64,11.74,94.87,86.55,99.1,Normal
Kabupaten/Kota_577,Banten,2021,216190074.0,11.69,11.1,71.58,65.17,6.2,85.78,53.08,98.88,Normal
Kabupaten/Kota_578,Sumatera Barat,2023,93599756.0,2.77,5.36,63.83,76.4,12.06,93.26,63.92,93.17,Normal
Kabupaten/Kota_579,Jawa Barat,2024,115941283.0,24.39,5.56,65.63,65.04,11.6,32.96,64.47,77.69,Normal
Kabupaten/Kota_580,Papua,2024,232000564.0,24.33,13.23,75.7,71.89,9.27,69.76,36.83,75.33,Normal
Kabupaten/Kota_581,Kalimantan Timur,2023,244675057.0,11.91,13.22,69.73,60.9,8.08,45.69,45.61,61.33,Normal
Kabupaten/Kota_582,Sulawesi Selatan,2023,92453071.0,8.78,11.13,71.61,69.18,7.22,69.78,39.6,60.17,Normal
Kabupaten/Kota_583,Banten,2021,115219974.0,2.1,7.27,81.28,77.99,13.08,95.31,41.74,53.24,Normal
Kabupaten/Kota_584,DKI Jakarta,2023,60578206.0,3.29,6.76,70.32,77.15,10.82,22.29,91.81,51.59,Normal
Kabupaten/Kota_585,Jawa Tengah,2020,133573251.0,8.28,11.91,74.59,68.9,11.67,60.22,92.45,67.69,Normal
Kabupaten/Kota_586,Sulawesi Selatan,2022,228344076.0,11.64,1.24,75.92,75.47,11.96,83.79,41.05,78.96,Normal
Kabupaten/Kota_587,Banten,2020,165143897.0,5.55,9.9,67.95,76.7,12.58,50.71,98.76,45.47,Normal
Kabupaten/Kota_588,Banten,2021,186474982.0,14.11,1.38,79.57,77.97,13.35,93.96,99.35,51.67,Normal
Kabupaten/Kota_589,Jawa Barat,2024,98561916.0,17.73,11.74,55.35,70.38,9.54,57.74,66.85,73.05,Normal
Kabupaten/Kota_590,Jawa Tengah,2024,169436656.0,6.46,4.64,71.81,62.21,7.53,43.42,76.14,57.58,Normal
Kabupaten/Kota_591,Banten,2023,203256627.0,13.97,14.15,71.06,76.77,12.17,79.29,35.63,87.38,Normal
Kabupaten/Kota_592,Banten,2024,101121056.0,21.91,13.43,72.61,70.11,6.12,54.34,33.14,98.24,Normal
Kabupaten/Kota_593,Sulawesi Selatan,2022,149399539.0,4.85,13.96,76.05,63.05,10.7,84.32,94.78,75.83,Normal
Kabupaten/Kota_594,Sulawesi Selatan,2020,178099325.0,14.5,6.04,57.83,65.94,7.49,39.95,73.07,44.43,Normal
Kabupaten/Kota_595,Papua,2023,16716204.0,17.18,10.11,74.46,75.57,10.23,45.26,54.4,42.72,Normal
Kabupaten/Kota_596,Jawa Barat,2020,110869588.0,6.4,11.54,57.0,69.11,13.29,95.76,37.43,97.36,Normal
Kabupaten/Kota_597,Papua,2020,18400493.0,18.33,4.08,76.45,68.4,5.58,20.53,84.92,46.35,Normal
Kabupaten/Kota_598,Banten,2020,25649379.0,16.47,10.15,74.99,74.58,7.37,80.56,96.34,98.66,Normal
Kabupaten/Kota_599,Sumatera Utara,2023,31799056.0,9.69,6.58,65.15,67.12,5.79,48.54,42.83,74.46,Normal
Kabupaten/Kota_600,Sumatera Barat,2023,224089725.0,17.42,7.7,73.18,65.85,5.8,25.98,89.12,72.52,Normal
Kabupaten/Kota_601,Banten,2023,166180540.0,16.08,14.38,82.42,66.17,6.27,37.3,56.19,89.82,Normal
Kabupaten/Kota_602,Jawa Barat,2020,28101591.0,13.33,8.27,57.94,74.83,5.66,81.71,47.67,71.08,Normal
Kabupaten/Kota_603,Jawa Tengah,2020,223905885.0,11.42,13.23,67.85,62.64,6.57,30.24,98.78,98.59,Normal
Kabupaten/Kota_604,DKI Jakarta,2023,215757238.0,6.06,6.44,71.22,63.11,13.83,62.64,52.65,51.64,Normal
Kabupaten/Kota_605,Sulawesi Selatan,2023,107458373.0,14.33,12.38,71.5,62.54,12.64,90.5,31.56,76.08,Normal
Kabupaten/Kota_606,Sulawesi Selatan,2021,197538880.0,2.87,1.98,65.45,68.42,7.9,84.26,71.34,82.26,Normal
Kabupaten/Kota_607,Banten,2020,249957102.0,6.73,3.16,55.99,65.1,10.95,89.38,62.04,86.33,Normal
Kabupaten/Kota_608,Banten,2022,40460624.0,3.86,9.13,57.69,67.62,7.04,65.92,55.54,43.53,Normal
Kabupaten/Kota_609,Banten,2020,218054441.0,13.45,9.7,79.91,69.24,11.64,23.43,85.02,91.66,Normal
Kabupaten/Kota_610,DKI Jakarta,2024,100386135.0,16.42,6.97,61.89,67.87,9.76,50.94,32.48,81.86,Normal
Kabupaten/Kota_611,Banten,2020,189016358.0,11.17,3.73,58.94,68.88,11.01,86.12,92.06,98.16,Normal
Kabupaten/Kota_612,Banten,2021,100343361.0,24.83,2.22,77.92,65.77,9.47,56.46,92.51,79.67,Normal
Kabupaten/Kota_613,Jawa Barat,2023,15694069.0,22.18,9.05,74.24,62.05,7.71,93.19,,56.31,Missing Value
Kabupaten/Kota_614,Sulawesi Selatan,2021,215509042.0,14.09,6.96,68.16,69.66,5.41,57.95,60.31,85.18,Normal
Kabupaten/Kota_615,Jawa Barat,2021,226334685.0,17.6,12.03,64.34,63.57,13.06,44.3,45.31,46.15,Normal
Kabupaten/Kota_616,Kalimantan Timur,2020,169724964.0,21.03,5.09,67.58,69.11,9.24,54.85,90.25,58.06,Normal
Kabupaten/Kota_617,Sulawesi Selatan,2022,246427373.0,21.76,11.81,61.23,71.23,5.72,36.62,74.24,57.08,Normal
Kabupaten/Kota_618,Sulawesi Selatan,2024,100338608.0,17.83,14.53,74.47,60.58,7.61,58.9,92.11,93.45,Normal
Kabupaten/Kota_619,Sumatera Barat,2023,84781262.0,6.64,11.65,72.54,74.04,5.06,95.32,78.66,57.28,Normal
Kabupaten/Kota_620,Jawa Timur,2020,178959606.0,16.36,10.31,76.47,71.4,6.88,,34.62,57.28,Missing Value
Kabupaten/Kota_621,Jawa Timur,2022,135773509.0,24.16,14.86,69.64,70.09,13.7,29.16,83.05,62.95,Normal
Kabupaten/Kota_622,Banten,2020,152592542.0,18.72,3.82,55.26,64.22,8.49,41.77,46.97,59.76,Normal
Kabupaten/Kota_623,Papua,2023,122915110.0,10.28,7.62,81.57,74.33,10.48,61.54,,71.69,Missing Value
Kabupaten/Kota_624,Papua,2020,132750249.0,11.61,1.55,72.24,74.48,8.11,49.91,47.0,42.69,Normal
Kabupaten/Kota_625,Banten,2020,180078529.0,19.68,12.54,80.29,72.29,13.23,95.04,42.22,68.04,Normal
Kabupaten/Kota_626,Jawa Barat,2020,18759469.0,4.65,14.67,74.03,60.8,9.82,84.06,49.69,92.6,Normal
Kabupaten/Kota_627,Jawa Tengah,2024,55276042.0,19.57,11.22,83.84,74.14,6.53,23.35,51.95,67.42,Normal
Kabupaten/Kota_628,Sulawesi Selatan,2020,217568500.0,12.44,8.37,63.78,63.99,6.84,43.23,78.65,75.49,Normal
Kabupaten/Kota_629,Jawa Barat,2020,238914031.0,8.09,4.37,68.76,75.97,7.91,77.9,82.29,68.91,Normal
Kabupaten/Kota_630,DKI Jakarta,2024,147400383.0,5.63,8.88,78.29,70.51,10.76,61.21,44.76,49.79,Normal
Kabupaten/Kota_631,Jawa Timur,2023,222777611.0,18.85,11.7,60.5,67.45,7.26,83.76,74.64,57.29,Normal
Kabupaten/Kota_632,Sumatera Barat,2020,178385958.0,21.86,5.29,55.78,72.77,6.56,54.27,96.1,68.07,Normal
Kabupaten/Kota_633,Sumatera Utara,2021,137310624.0,2.33,12.05,80.26,75.56,7.67,28.62,89.3,51.85,Normal
Kabupaten/Kota_634,Jawa Timur,2020,187536085.0,7.92,7.92,60.58,66.39,7.36,82.69,47.7,44.52,Normal
Kabupaten/Kota_635,Sulawesi Selatan,2024,202437514.0,7.11,13.49,71.34,65.2,13.91,90.53,62.14,89.41,Normal
Kabupaten/Kota_636,Sumatera Barat,2020,124013401.0,14.08,1.09,73.47,68.23,10.3,69.25,65.55,71.37,Normal
Kabupaten/Kota_637,Papua,2023,57411271.0,11.36,9.67,72.78,63.71,13.73,64.14,36.61,78.3,Normal
Kabupaten/Kota_638,Jawa Barat,2022,128757791.0,23.1,9.95,69.97,70.4,10.87,94.13,81.85,89.14,Normal
Kabupaten/Kota_639,DKI Jakarta,2023,81063003.0,5.32,9.31,83.53,74.12,12.05,38.17,96.14,44.86,Normal
Kabupaten/Kota_640,Jawa Barat,2024,148585092.0,22.24,12.1,62.71,73.07,11.52,46.77,39.19,67.06,Normal
Kabupaten/Kota_641,DKI Jakarta,2023,234237665.0,8.84,9.45,63.0,71.15,13.63,54.35,38.48,62.56,Normal
Kabupaten/Kota_642,Sumatera Utara,2023,240590770.0,21.93,13.39,79.06,69.55,7.71,83.59,54.6,55.62,Normal
Kabupaten/Kota_643,DKI Jakarta,2020,172794178.0,4.8,9.59,55.15,66.88,12.18,50.39,43.22,63.96,Normal
Kabupaten/Kota_644,Jawa Timur,2024,214263548.0,9.74,4.01,61.92,73.17,8.64,56.42,45.08,70.9,Normal
Kabupaten/Kota_645,Kalimantan Timur,2020,143136647.0,14.42,6.35,63.63,72.53,7.26,76.86,43.65,50.22,Normal
Kabupaten/Kota_646,Papua,2020,25857510.0,12.92,6.09,66.6,64.98,6.47,57.07,49.38,69.03,Normal
Kabupaten/Kota_647,Kalimantan Timur,2023,88962872.0,14.18,10.23,75.22,67.19,5.74,30.28,65.79,52.43,Normal
Kabupaten/Kota_648,Kalimantan Timur,2024,227658531.0,14.49,8.55,70.43,74.21,10.32,24.38,92.42,47.01,Normal
Kabupaten/Kota_649,Jawa Barat,2020,213670288.0,14.82,6.64,61.36,72.37,10.31,77.33,83.95,50.27,Normal
Kabupaten/Kota_650,Kalimantan Timur,2021,235875016.0,13.17,3.05,58.74,63.34,9.8,34.03,84.02,83.86,Normal
Kabupaten/Kota_651,Papua,2021,194284329.0,12.93,7.24,66.28,60.93,10.84,45.4,99.29,88.15,Normal
Kabupaten/Kota_652,Jawa Barat,2022,153451872.0,22.49,8.59,64.64,70.85,7.69,42.82,42.97,70.71,Normal
Kabupaten/Kota_653,Banten,2024,155097899.0,9.6,13.45,76.18,71.6,6.05,29.22,62.11,76.07,Normal
Kabupaten/Kota_654,Sumatera Barat,2022,207938981.0,16.7,12.13,84.57,73.42,6.9,41.87,43.39,94.88,Normal
Kabupaten/Kota_655,DKI Jakarta,2021,71289108.0,14.9,3.27,78.78,62.96,13.75,77.7,67.36,79.6,Normal
Kabupaten/Kota_656,Kalimantan Timur,2022,1774545027.0,12.3,1.61,58.0,77.89,6.18,40.82,48.26,78.08,Outlier
Kabupaten/Kota_657,Kalimantan Timur,2020,84432570.0,24.88,8.29,57.0,68.84,6.9,67.07,92.44,82.54,Normal
Kabupaten/Kota_658,Papua,2020,170790002.0,18.96,13.25,75.39,69.84,8.99,83.32,34.38,79.52,Normal
Kabupaten/Kota_659,Sumatera Utara,2023,245651835.0,19.73,7.32,58.35,65.23,8.18,91.71,96.28,89.96,Normal
Kabupaten/Kota_660,DKI Jakarta,2021,144085940.0,13.73,10.11,66.38,62.59,9.2,55.98,90.55,94.33,Normal
Kabupaten/Kota_661,Papua,2020,72828148.0,12.86,4.96,58.62,71.62,8.5,78.17,81.68,98.95,Normal
Kabupaten/Kota_662,Jawa Tengah,2024,202970754.0,12.42,7.24,68.16,61.83,13.59,87.57,39.61,81.71,Normal
Kabupaten/Kota_663,Sulawesi Selatan,2024,50593833.0,21.38,13.4,81.43,72.0,12.94,30.58,32.7,90.43,Normal
Kabupaten/Kota_664,Sumatera Barat,2021,211494316.0,17.98,7.38,63.68,71.05,8.21,68.26,38.58,84.92,Normal
Kabupaten/Kota_665,Jawa Tengah,2020,244147112.0,16.73,5.28,56.16,73.63,13.64,56.88,,40.16,Missing Value
Kabupaten/Kota_666,Sumatera Barat,2021,142577106.0,14.77,11.31,57.09,67.76,6.11,21.11,78.21,89.65,Normal
Kabupaten/Kota_667,Jawa Timur,2021,64327642.0,14.04,7.85,65.26,75.55,9.77,80.57,38.39,83.89,Normal
Kabupaten/Kota_668,Sumatera Utara,2024,95903098.0,5.6,13.79,82.69,71.27,13.07,62.13,90.12,47.99,Normal
Kabupaten/Kota_669,Sumatera Utara,2022,15802197.0,9.68,10.16,70.94,71.12,6.54,97.6,75.95,55.66,Normal
Kabupaten/Kota_670,DKI Jakarta,2020,213179134.0,12.98,5.85,69.39,75.27,10.98,43.57,55.32,70.84,Normal
Kabupaten/Kota_671,Jawa Timur,2021,187475633.0,11.29,14.07,72.94,65.53,8.94,40.61,91.54,95.24,Normal
Kabupaten/Kota_672,DKI Jakarta,2020,29769290.0,16.87,12.52,79.41,75.66,10.55,45.51,91.8,55.91,Normal
Kabupaten/Kota_673,Banten,2023,240133631.0,19.67,7.63,58.46,72.38,13.08,24.19,95.58,57.13,Normal
Kabupaten/Kota_674,Sumatera Utara,2024,41077304.0,2.37,13.54,82.11,65.9,6.47,74.71,57.93,74.83,Normal
Kabupaten/Kota_675,Jawa Timur,2024,233010760.0,2.88,2.91,84.2,69.84,12.2,89.43,43.33,61.71,Normal
Kabupaten/Kota_676,Papua,2021,28481855.0,13.37,7.86,82.99,60.34,9.68,59.46,60.64,88.4,Normal
Kabupaten/Kota_677,Banten,2021,170622607.0,18.32,8.63,74.67,70.11,13.25,94.46,86.14,64.7,Normal
Kabupaten/Kota_678,Sulawesi Selatan,2022,174886775.0,24.69,1.25,84.44,68.41,5.32,25.01,42.77,91.62,Normal
Kabupaten/Kota_679,Papua,2022,36827153.0,14.47,4.88,59.99,62.86,5.92,22.25,62.37,55.76,Normal
Kabupaten/Kota_680,Sumatera Utara,2021,64103560.0,4.59,1.3,60.69,74.35,12.12,,30.76,57.31,Missing Value
Kabupaten/Kota_681,Papua,2020,98229110.0,10.42,2.23,55.83,64.52,10.65,73.12,42.76,96.3,Normal
Kabupaten/Kota_682,Sumatera Barat,2021,111577739.0,23.75,1.69,67.05,75.82,13.01,52.37,86.28,74.66,Normal
Kabupaten/Kota_683,Jawa Timur,2020,195889303.0,22.91,10.18,72.39,62.2,13.36,95.34,35.7,43.98,Normal
Kabupaten/Kota_684,Kalimantan Timur,2021,205425965.0,19.39,6.08,56.33,65.35,8.86,27.19,43.22,94.54,Normal
Kabupaten/Kota_685,Sumatera Barat,2024,170006949.0,13.45,4.29,66.6,60.28,9.92,24.79,89.53,88.55,Normal
Kabupaten/Kota_686,Kalimantan Timur,2021,26634996.0,6.33,10.92,57.75,64.4,6.28,53.41,95.85,93.24,Normal
Kabupaten/Kota_687,Sulawesi Selatan,2021,69764038.0,24.32,8.13,57.99,60.35,10.3,53.05,34.27,84.02,Normal
Kabupaten/Kota_688,Banten,2020,142462810.0,2.79,3.06,84.0,73.25,9.27,57.73,85.97,54.38,Normal
Kabupaten/Kota_689,Sumatera Utara,2020,186432247.0,8.71,3.05,75.95,71.84,11.78,59.91,81.86,49.67,Normal
Kabupaten/Kota_690,Kalimantan Timur,2022,50554408.0,3.57,6.89,69.66,63.95,7.93,52.44,57.57,99.02,Normal
Kabupaten/Kota_691,Kalimantan Timur,2023,109420669.0,15.57,,58.82,75.82,6.03,30.91,99.91,81.08,Missing Value
